name,description,ratings,number of lectures,difficulty,average rating,price,category
Complete Python Bootcamp: Go from zero to hero in Python 3,Learn Python like a Professional! Start from the basics and go all the way to creating your own applications and games!,98548,,All Levels,4.5,11.99,Business
The Web Developer Bootcamp,"The only course you need to learn web development - HTML, CSS, JS, Node, and More!",96098,,All Levels,4.6,11.99,Business
Angular 7 (formerly Angular 2) - The Complete Guide,"Master Angular (Angular 2+, incl. Angular 7) and build awesome, reactive web apps with the successor of Angular.js",64306,,All Levels,4.6,11.99,Business
Complete Java Masterclass - updated for Java 11,"Learn to master Java 11 and Java 8 core development step-by-step and make your first unique, advanced program in 30 days",57550,,All Levels,4.5,11.99,Business
Complete C# Unity Developer 2D - Learn to Code Making Games,"Game development & design. Learn C# using Unity 2018. Your first seven 2D Unity games for web, Mac & PC.",49258,,All Levels,4.6,11.99,Business
The Complete Web Developer Course 2.0,"Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!",41498,306,All Levels,4.5,11.99,Business
Modern React with Redux,"Master the fundamentals of React v16.3.2 and Redux as you develop apps with React Router, Webpack, and ES6",35605,,All Levels,4.5,11.99,Business
JavaScript: Understanding the Weird Parts,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",28111,85,All Levels,4.7,11.99,Business
The Unreal Engine Developer Course - Learn C++ & Make Games,"Learn C++ from scratch. Make your first 4 video games in Unreal engine, the engine behind Fortnite.",27832,,All Levels,4.5,11.99,Business
The Complete JavaScript Course 2018: Build Real Projects!,"Master JavaScript with the most complete course on the market! Projects, challenges, quizzes, ES6+, OOP, AJAX, Webpack",27553,,All Levels,4.5,11.99,Business
iOS 11 & Swift 4 - The Complete iOS App Development Bootcamp,Learn iOS 11 App Development From Beginning to End. Using Xcode 9 and Swift 4. Includes Full ARKit and CoreML Modules!,26802,473,All Levels,4.7,11.99,Business
The Complete Node.js Developer Course (2nd Edition),"Learn Node.js by building real-world applications with Node, Express, MongoDB, Mocha, and more!",23316,,All Levels,4.6,11.99,Business
React 16 - The Complete Guide (incl. React Router 4 & Redux),"Dive in and learn React from scratch! Learn Reactjs, Redux, React Routing, Animations, Next.js basics and way more!",22751,,All Levels,4.7,11.99,Business
The Complete React Native and Redux Course,iOS and Android App Development from scratch - build full React Native mobile apps ridiculously fast!,20834,,All Levels,4.5,11.99,Business
The Python Mega Course: Build 10 Real World Applications,Start Python from the basics and learn how to create 10 amazing and professional Python programs used in the real world!,19959,238,All Levels,4.4,11.99,Business
Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex),Vue JS is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,19759,,All Levels,4.7,11.99,Business
Build Responsive Real World Websites with HTML5 and CSS3,"The easiest way to learn modern web design, HTML5 and CSS3 step-by-step from scratch. Design AND code a huge project.",18949,,All Levels,4.6,11.99,Business
Complete Python Masterclass,Python 3 is the in-demand programming language used extensively by Google. Master Python 3 and you’ll be in demand too!,18685,223,All Levels,4.5,11.99,Business
Learn and Understand NodeJS,"Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.",18481,98,All Levels,4.5,11.99,Business
C# Basics for Beginners: Learn C# Fundamentals by Coding,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",18474,87,Beginner,4.6,11.99,Business
Selenium WebDriver with Java - Basics to Advanced+Frameworks,"Join with us-""Top Ranked #1 Master Selenium  java course - 50,000+ students learning together with great collaboration",17926,,All Levels,4.5,11.99,Business
Spring & Hibernate for Beginners,"Spring Framework 5: Learn Spring Core, Spring AOP, Spring MVC, Spring Security, Spring REST, Hibernate - Most Popular!",17185,,All Levels,4.6,11.99,Business
Automate the Boring Stuff with Python Programming,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",16795,51,All Levels,4.6,11.99,Business
The Complete Android N Developer Course,"Learn Android App Development with Android 7 Nougat by building real apps including Uber, Whatsapp and Instagram!",16675,,All Levels,4.5,11.99,Business
Docker Mastery: The Complete Toolset From a Docker Captain,"Build, compose, deploy, and manage Docker containers from development to DevOps based Swarm clusters",16040,93,All Levels,4.6,11.99,Business
Learn and Understand AngularJS,"Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.",15709,,All Levels,4.5,11.99,Business
The Complete ASP.NET MVC 5 Course,"Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",15128,,All Levels,4.4,11.99,Business
iOS 10 & Swift 3: From Beginner to Paid Professional™,The most comprehensive course on iOS development - become a master of app development,13382,251,All Levels,4.2,11.99,Business
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,Become an In-demand SQL Master by creating complex databases and building reports through real-world projects,13315,,Beginner,4.6,11.99,Business
The Complete Web Developer in 2018: Zero to Mastery,"Learn to code and become a web developer in 2018 with HTML5, CSS, Javascript, React, Node.js, Machine Learning & more!",13144,278,All Levels,4.7,11.99,Business
Python and Django Full Stack Web Developer Bootcamp,"Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!",13061,,All Levels,4.5,11.99,Business
The Python Bible™ | Everything You Need to Program in Python,Build 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!,12568,73,Beginner,4.6,11.99,Business
The Complete Angular Course: Beginner to Advanced,"The most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4",12199,376,All Levels,4.5,11.99,Business
Angular Crash Course for Busy Developers,Have limited time to learn Angular 4 (Angular 2+)? Take this course and learn Angular in 10 hours!,11937,137,All Levels,4.5,11.99,Business
"Data Science, Deep Learning and Machine Learning with Python","Hands-on with data science, machine learning, deep learning, Tensorflow, artificial intelligence, and neural networks",10976,,Beginner,4.5,11.99,Business
The Complete iOS 10 & Swift 3 Developer Course,"Learn iOS App Development by building 21 iOS apps using Swift 3 & Xcode 8. Includes free web hosting, assets & ebook.",10373,222,All Levels,4.5,11.99,Business
"C# Intermediate: Classes, Interfaces and OOP","An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#",9998,,Intermediate,4.6,11.99,Business
PHP for Beginners - Become a PHP Master - CMS Project,PHP for Beginners: learn everything you need to become a professional PHP developer with practical exercises & projects.,9868,,All Levels,4.4,11.99,Business
Ultimate Web Designer & Developer Course: Build 23 Projects!,Become a Full-Stack Developer - Learn Everything from Design to Front & Back-End Programming.,8753,246,All Levels,4.4,11.99,Business
The Complete React Web Developer Course (with Redux),"Learn how to build and launch React web applications using React v16, Redux, Webpack, React-Router v4, and more!",8381,188,Beginner,4.7,11.99,Business
Angular & NodeJS - The MEAN Stack Guide,Learn how to connect your Angular Frontend to a NodeJS & Express & MongoDB Backend by building a real Application,8244,,All Levels,4.7,11.99,Business
Learning Python for Data Analysis and Visualization,"Learn python and how to use it to analyze,visualize and present data. Includes tons of sample code and hours of video!",8072,,All Levels,4.3,11.99,Business
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!","The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",7903,,Intermediate,4.8,11.99,Business
The Complete Oracle SQL Certification Course,"Don't just learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",7757,,All Levels,4.5,11.99,Business
Master Jenkins CI For DevOps and Developers,Learn how to build automated continuous integration pipeline with Jenkins. Take your DevOps skills to the next level.,7751,,All Levels,4.3,11.99,Business
Complete Guide to TensorFlow for Deep Learning with Python,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!,7712,,Intermediate,4.5,11.99,Business
The Ultimate Excel Programmer Course,"Learn Excel VBA from scratch with Dan Strong! I've trained over 120K students on YouTube and U-demy, check it out!",7538,,All Levels,4.4,11.99,Business
Learn How To Code: Google's Go (golang) Programming Language,The Ultimate Comprehensive Course - Perfect for Both Beginners and Experienced Developers,7074,367,All Levels,4.5,11.99,Business
Python for Beginners with Examples,A straight-to-the-point Python course to quickly get you started with writing Python code and creating Python programs.,7066,38,Beginner,4.3,11.99,Business
Advanced React and Redux: 2018 Edition,"Detailed walkthroughs on advanced React and Redux concepts - Authentication, Testing, Middlewares, HOC's, and Deployment",7044,,Intermediate,4.7,11.99,Business
Complete C# Unity Developer 3D - Learn to Code Making Games,"Game development & design. Learn C# using Unity Engine. Your first 3D Unity games for web, Mac & PC.",7024,,All Levels,4.6,11.99,Business
C# Advanced Topics: Prepare for Technical Interviews,"Master the confusing C# constructs: Events, Delegates, Lambda Expressions, LINQ, Async/Await and more!",6959,21,Intermediate,4.5,11.99,Business
Node with React: Fullstack Web Development,"Build and deploy fullstack web apps with NodeJS, React, Redux, Express, and MongoDB.",6873,197,All Levels,4.6,11.99,Business
The Complete Ruby on Rails Developer Course,Learn to make innovative web apps with Ruby on Rails 4 & 5 and unleash your creativity,6696,,All Levels,4.4,11.99,Business
Ethereum and Solidity: The Complete Developer's Guide,"Use Ethereum, Solidity, and Smart Contracts to build production-ready apps based on the blockchain",6506,,All Levels,4.6,11.99,Business
The Complete WordPress Website Business Course,"Master WordPress with this Complete WordPress Course, without learning how to code and without any programming!",6331,,All Levels,4.4,11.99,Business
ES6 Javascript: The Complete Developer's Guide,ES6 Javascript Development from scratch.  Get practice with live examples and learn exactly where to apply ES6 features.,6272,68,Beginner,4.6,11.99,Business
Modern JavaScript From The Beginning,Learn and build projects with pure JavaScript (No frameworks or libraries),6266,120,All Levels,4.7,11.99,Business
Unreal Engine 4: How to Develop Your First Two Games,"Epic Games-Approved: learn the Unreal Editor, master the gameplay framework, and use Blueprint to program without coding",6198,85,Beginner,4.5,11.99,Business
Selenium WebDriver With Java - Novice To Ninja + Interview,"Join the ""Top Rated #1 Best Selenium Course"" - Basics To Advanced Level With POM, Grid, Maven, Jenkins, Interviews",6079,278,All Levels,4.5,11.99,Business
Scrum Certification Prep +Scrum Master+ Agile Scrum Training,Overview of Scrum Agile project management+common questions+tips to pass PSM scrum org ONLINE Scrum Master Certification,6063,,All Levels,4.3,11.99,Business
Part 1 Foundation Enterprise Architect Certification Trng,"Software architecture certification with TOGAF® 9 Part 1 exam, to become TOGAF Foundation.",6008,,All Levels,4.3,11.99,Business
Docker Crash Course for busy DevOps and Developers,Learn how to develop and deploy web applications with Docker technologies. Take your DevOps skills to the next level.,5979,49,All Levels,4.4,11.99,Business
Ionic 2/ Ionic 3 - Build iOS & Android Apps with Angular,"Build Native iOS and Android Apps with Angular 2+, Cordova and the Ionic 3 Framework. Build 4 Complete Apps!",5771,,Beginner,4.5,11.99,Business
iOS 9 and Swift 2: From Beginner to Paid Professional™,The BEST online iOS 9 Swift 2 course online. Lets learn iOS 9 & Swift 2,5659,177,All Levels,4.1,11.99,Business
Understanding TypeScript,"Don't limit the Usage of TypeScript to Angular 2! Learn the Basics, its Features, Workflows and how to use it!",5652,,All Levels,4.6,11.99,Business
Xamarin Forms: Build Native Cross-platform Apps with C#,"Learn to build native mobile apps for Android, iOS and Windows using your existing C# skills",5631,,All Levels,4.5,11.99,Business
The Modern Python 3 Bootcamp,A Unique Interactive Python Experience With Nearly 200 Exercises and Quizzes,5297,362,Beginner,4.6,11.99,Business
Bootstrap 4 From Scratch With 5 Projects,Master the latest version of Bootstrap (4.1.1) and build 5 real world themes while learning HTML5 semantics & CSS3,5165,,All Levels,4.7,11.99,Business
C++: From Beginner to Expert,Designed for people who don't have any knowledge about the programming and want to program in C++,5119,71,All Levels,4.4,11.99,Business
Go: The Complete Developer's Guide (Golang),Master the fundamentals and advanced features of the Go Programming Language (Golang),5117,,All Levels,4.6,11.99,Business
Android Java Masterclass - Become an App Developer,Improve your career options by learning Android app Development. Master Android Studio and build your first app today,5009,322,All Levels,4.4,11.99,Business
WebServices/REST API Testing with SoapUI+ Real Time Projects,"""Most Popular #1 SoapUI Test automation Course - ""23000+ students learning together with great collaboration""",4924,,All Levels,4.4,11.99,Business
"Beginner Full Stack Web Development: HTML, CSS, React & Node","Learn web development with HTML, CSS, Bootstrap 4, ES6 React and Node",4880,172,Beginner,4.5,11.99,Business
Taming Big Data with Apache Spark and Python - Hands On!,"Dive right in with 15+  hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop!",4880,,All Levels,4.5,11.99,Business
Apache Kafka Series - Learn Apache Kafka for Beginners v2,"START HERE: Learn Apache Kafka 2.0 Ecosystem, Core Concepts, Real World Java Producers/Consumers & Big Data Architecture",4873,,All Levels,4.6,11.99,Business
Entity Framework in Depth: The Complete Guide,Connect your applications to a SQL Server database,4860,,Intermediate,4.7,11.99,Business
The Advanced Web Developer Bootcamp,"Learn React 16, Redux, D3, ES2015, Testing, CSS Flexbox, Animations, SVG, AJAX, and more!",4819,391,Intermediate,4.5,11.99,Business
The Ultimate Guide to Game Development with Unity,Created in partnership with Unity Technologies: learn C# by developing 2D & 3D games with this comprehensive guide,4794,,Beginner,4.6,11.99,Business
PHP with Laravel for beginners - Become a Master in Laravel,Learn to master Laravel to make advanced applications like the real CMS app we build on this course,4691,,All Levels,4.4,11.99,Business
The Complete Android Kotlin Developer Course,"Learn how to make online games, and apps for Android O, like Pokémon , twitter,Tic Tac Toe, and notepad using Kotlin",4601,205,All Levels,4,11.99,Business
Python for Financial Analysis and Algorithmic Trading,"Learn numpy , pandas , matplotlib , quantopian , finance , and more for algorithmic trading with Python!",4593,,All Levels,4.5,11.99,Business
iOS 12 & Swift - The Complete iOS App Development Bootcamp,"From Beginner to iOS 12 App Developer with Just One Course! Xcode 10 & Swift 4.2. Includes ARKit2, CoreML2 and CreateML.",4538,,All Levels,4.8,11.99,Business
Android O & Java - The Complete Android Development Bootcamp,Learn Android O app development from beginning to end. Learn to code in Java while building fun Android O projects.,4467,289,All Levels,4.5,11.99,Business
Master Microservices with Spring Boot and Spring Cloud,"An awesome journey from Restful Web Services to Microservices with Java, Spring Boot and Spring Cloud",4445,,All Levels,4.4,11.99,Business
"Git Complete: The definitive, step-by-step guide to Git",Go from zero to hero with Git source control step-by-step with easy to understand examples. Become the next Git expert!,4383,84,All Levels,4.3,11.99,Business
Web Design for Beginners: Real World Coding in HTML & CSS,"Launch a career as a web designer by learning HTML5, CSS3, responsive design, Sass, cross device compatibility and more!",4376,,All Levels,4.6,11.99,Business
Spring Framework 5: Beginner to Guru,"Spring Framework 5: Learn Spring Framework 5, Spring Boot 2, Spring MVC, Spring Data JPA, Spring Data MongoDB, Hibernate",4368,460,All Levels,4.4,11.99,Business
Complete Step By Step Java For Testers,A-Z guide for learning Java what's perfectly right for your Selenium WebDriver and Test Automation needs,4281,52,All Levels,4.4,11.99,Business
The Coding Interview Bootcamp: Algorithms + Data Structures,Ace your next Javascript coding interview by mastering data structures and algorithms.,4280,,All Levels,4.6,11.99,Business
Appium(Latest 1.8)-Mobile Automation Testing from Scratch,Appium -Top class 200 +Lectures on Mobile Automation  from basics to Framework level with real time examples,4095,,All Levels,4.3,11.99,Business
The Complete Developers Guide to MongoDB,Master MongoDB and Mongoose design with a test-driven approach,4089,129,All Levels,4.5,11.99,Business
REST APIs with Flask and Python,"Build professional REST APIs with Python, Flask, Flask-RESTful, and Flask-SQLAlchemy",4068,,Intermediate,4.5,11.99,Business
Webpack 2: The Complete Developer's Guide,"Master Webpack 2 as you deploy web apps supported by Babel, code splitting, and ES2015 Modules.",4055,,All Levels,4.7,11.99,Business
Angular Front To Back,Master Angular 5 from the basics to building an advanced application with Firebase's Firestore as well as authentication,4042,73,All Levels,4.6,11.99,Business
Microservices with Spring Cloud,"A deep-dive into the Microservice architectural style, and how to implement it with Spring technologies.",4028,30,Intermediate,4.4,11.99,Business
30 Days of Python | Unlock your Python Potential,"Python is simple enough for beginners, powerful enough for the pros. Use it for IOT, Web Scraping, Big Data,  and more.",4033,45,All Levels,4.3,11.99,Business
iOS 11 & Swift 4: From Beginner to Paid Professional™,"Build iOS Apps & Learn iOS 11, Swift 4, ARKit (Augmented Reality), CoreML (Machine Learning)",4003,187,Beginner,4.5,11.99,Business
Spark and Python for Big Data with PySpark,"Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!",3964,,Intermediate,4.5,11.99,Business
GraphQL with React: The Complete Developers Guide,Learn and master GraphQL by building real web apps with React and Node,3964,114,Intermediate,4.6,11.99,Business
Git a Web Developer Job: Mastering the Modern Workflow,"Learn Git, GitHub, Node.js, NPM, Object-oriented JavaScript, ES6, webpack, Gulp, BEM and Job Interview Tips",3941,,Beginner,4.7,11.99,Business
The Complete Python 3 Course: Go from Beginner to Advanced!,Complete Guide to learning how to program in Python. Go from Beginner to Advanced level in Python with coding exercises!,3905,73,All Levels,4.1,11.99,Business
Unity Game Development Build 2D & 3D Games,Learn Unity game design & 2D & 3D game development & make your own C# games in Unity 3D,3887,116,Beginner,4.3,11.99,Business
The Java Spring Tutorial: Learn Java's Popular Web Framework,"Learn the hottest, most in-demand Java web framework, including web programming with Spring MVC and Hibernate. Lifetime access with no subscription on Udemy.",3794,176,Expert,4.1,11.99,Business
The Complete Android & Java Developer Course - Build 21 Apps,"Learn Android Development, Java & Android Studio from Scratch in 5 Weeks. Build Whatsapp Clone, Diary App & more",3786,374,All Levels,4.3,11.99,Business
"Python for Data Structures, Algorithms, and Interviews!",Get a kick start on your career and ace your coding interviews!,3781,228,Intermediate,4.4,11.99,Business
Progressive Web Apps (PWA) - The Complete Guide,"Build a Progressive Web App (PWA) that feels like an iOS & Android App, using Device Camera, Push Notifications and more",3761,,All Levels,4.7,11.99,Business
"JSP, Servlets and JDBC for Beginners: Build a Database App",JSP: Covers latest versions of JSP 2.3 and Servlets 3.1 - Most Popular JSP/Servlet course,3735,,All Levels,4.6,11.99,Business
Machine Learning A-Z™: Hands-On Python & R In Data Science,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,59631,,All Levels,4.5,11.99,Business
Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",30508,149,All Levels,4.5,11.99,Business
The Complete SQL Bootcamp,Become an expert at SQL!,23501,,All Levels,4.5,11.99,Business
An Entire MBA in 1 Course:Award Winning Business School Prof,** #1 Best Selling Business Course! ** Everything You Need to Know About Business from Start-up to IPO,21003,,All Levels,4.4,11.99,Business
Tableau 10 A-Z: Hands-On Tableau Training For Data Science!,Learn Tableau 10 for Data Science step-by-step. Real-Life Data Analytics Exercises & Quizzes Included. Learn by doing!,19805,,All Levels,4.6,11.99,Business
PMP Exam Prep: Earn Your PMP Certification,Project Management Professional (PMP) Exam Prep Seminar to Pass the PMP Exam - 35 Contact Hours from PMI REP #4082,15667,149,Intermediate,4.5,11.99,Business
Deep Learning A-Z™: Hands-On Artificial Neural Networks,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.,15566,,All Levels,4.4,11.99,Business
Data Science A-Z™: Real-Life Data Science Exercises Included,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",15339,210,All Levels,4.5,11.99,Business
R Programming A-Z™: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",14944,,All Levels,4.6,11.99,Business
PMP Exam Prep Seminar -  PMBOK Guide 6,PMP Exam Prep Seminar - Earn 35 PDUs,13766,,All Levels,4.5,11.99,Business
Cryptocurrency Investment Course 2018: Fund your Retirement!,The Complete Guide to Buying and Selling Bitcoin and Altcoins on the Cryptocurrency Exchange!,11798,41,All Levels,3.6,11.99,Business
The Ultimate Hands-On Hadoop - Tame your Big Data!,"Hadoop, MapReduce, HDFS, Spark, Flink, Hive, HBase, MongoDB, Cassandra, Kafka- the list goes on! Over 25 technologies.",10452,,All Levels,4.5,11.99,Business
Become a Product Manager | Learn the Skills & Get the Job,"The most complete course available on Product Management. 13+ hours of videos, activities, interviews, & more",10413,,All Levels,4.4,11.99,Business
How to Start an Amazon FBA Store on a Tight Budget,"The complete Amazon selling blueprint. Start a brand new career today, even if you are on a very small start-up budget.",8726,,All Levels,4.6,11.99,Business
The Complete Financial Analyst Course 2018,"Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!",8697,,All Levels,4.6,11.99,Business
Beginner to Pro in Excel: Financial Modeling and Valuation,Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!,8529,,All Levels,4.5,11.99,Business
Artificial Intelligence A-Z™: Learn How To Build An AI,"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications!",7284,,All Levels,4.3,11.99,Business
Accounting in 60 Minutes - A Brief Introduction,Learn the very basics of accounting in just about an hour.,6983,16,Beginner,4.5,11.99,Business
Business Analysis Fundamentals - 2018,Learn the Core Concepts in Business Analysis and Grow a Successful Career as a Business Analyst,6875,,Beginner,4.5,11.99,Business
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Forex Trading - Beginners and Experienced - Learn trading by Doing! Live examples: Forex with Real Money in Metatrader 4,6506,,Beginner,4.4,11.99,Business
Python A-Z™: Python For Data Science With Real Exercises!,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization",6407,69,All Levels,4.5,11.99,Business
SQL for Newbs: Data Analysis for Beginners,A course you'll actually finish! This SQL course taught by a Product Manager and Marketing Data Scientist,6361,33,All Levels,4.2,11.99,Business
Microsoft Power BI - A Complete Introduction,"Learn how to use Microsoft's Power BI Tools, including Power BI Desktop, Power BI Service and PowerBI Developer",6347,,Beginner,4.5,11.99,Business
Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,5856,127,All Levels,4.6,11.99,Business
Apache Spark 2 with Scala - Hands On with Big Data!,"Dive right in with 20+  hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop!",5838,,All Levels,4.5,11.99,Business
Writing With Flair: How To Become An Exceptional Writer,"Ex-Wall Street Journal Editor Shows How To Make Your Blogs, Books & Business Writing Sparkle",5758,33,All Levels,4.4,11.99,Business
The Complete Shopify Aliexpress Dropship course,"In 2018, learn how to build a successful eCommerce business using Shopify, Aliexpress and Dropshipping, from scratch.",5674,,Beginner,4.6,11.99,Business
Cryptocurrency Trading Course 2018: Make Profits Daily!,The Complete Guide to Cryptocurrency Trading and accumulating profits for your retirement!,4770,42,All Levels,4.2,11.99,Business
The Complete Investment Banking Course 2018,"The #1 Course to Land a Job in Investment Banking. IPOs, Bonds, M&A, Trading, LBOs, Valuation: Everything  is included!",4658,,All Levels,4.4,11.99,Business
Ninja Writing: The Four Levels Of Writing Mastery,"Turn Your Business Writing, Blogs, Books & Essays Into Masterpieces",4467,,All Levels,4.4,11.99,Business
Tableau 10 Advanced Training: Master Tableau in Data Science,Master Tableau 10 in Data Science by solving Real-Life Analytics Problems. Learn Visualisation and Data Mining by doing!,4370,61,Intermediate,4.6,11.99,Business
Build a Shopify Dropshipping Business from Scratch,"Start your own business from anywhere in the world, and learn from a 6-Figure e-Commerce Shopify Entrepreneur",4193,,Beginner,4.3,11.99,Business
"Introduction to Finance, Accounting, Modeling and Valuation","Learn Finance & Accounting from Scratch by an Award Winning MBA Professor, Ivy Grad, worked @ Goldman & VC",4173,,All Levels,4.5,11.99,Business
Project Management Professional (PMP)® - 35 Contact Hours,Full Project Management Certification training. Earn all 35 contact hours. Accredited PMI Provider.,4073,345,All Levels,4.2,199.99,Business
#1 Cryptocurrency Long-term Investment Opportunity 2017/2018,Learn Long-term Cryptocurrency Investing and see which Alt Coin I think is the best investment opportunity in 2017!,4009,22,All Levels,2.7,11.99,Business
Data Science: Deep Learning in Python,"The MOST in-depth look at neural network theory, and how to code one with pure Python and Tensorflow",3982,82,Intermediate,4.6,11.99,Business
Acumen Presents: Chris Anderson on Public Speaking,The Head of TED Teaches You How to Deliver Talks that Share Powerful Ideas,3930,26,All Levels,4.4,44.99,Business
Seth Godin's Freelancer Course,"Become Remarkable, Find Better Clients, and Do Work That Matters",3894,,All Levels,4.7,89.99,Business
The Complete Presentation and Public Speaking/Speech Course,From page to stage; learn everything you need to know about giving a great speech for business & personal presentations.,3834,,All Levels,4.4,11.99,Business
Tableau for Beginners - Get Certified Accelerate Your Career,Jump into data visualization with hands-on exercises and pass the Qualified Associate exam.,3569,82,Beginner,4.5,11.99,Business
Data Science: Natural Language Processing (NLP) in Python,"Practical Applications of NLP: spam detection, sentiment analysis, article spinners, and latent semantic analysis.",3547,62,All Levels,4.5,11.99,Business
SQL - MySQL for Data Analytics and Business Intelligence,"SQL that will get you hired – SQL for Business Analysis, Marketing, and Data Management",3401,,All Levels,4.5,11.99,Business
The Complete Financial Analyst Training & Investing Course,"Succeed as a Financial Analyst &Investor by Award Winning MBA Prof who worked @Goldman, in Hedge Funds & Venture Capital",3370,,All Levels,4.5,11.99,Business
Blockchain A-Z™: Learn How To Build Your First Blockchain,Harness the power of the most disruptive technology since the internet through real life examples! Master Blockchain Now,3319,,All Levels,4.5,11.99,Business
PMP® Exam Prep 2018 : 2 Full Real Exams &Detailed PMP Math,Project Management Professional (PMP® Exam Prep) :2 full high real PMP® Exams &How to get every math question Correctly.,3303,62,All Levels,4.5,11.99,Business
Build a Dropshipping Empire From Scratch. Proven Blueprint,Turn a Few Dollars into Financial Freedom Using a Proven Step-by-Step System to Create Your Own Drop Shipping Empire,3223,81,All Levels,4.6,11.99,Business
PMI-ACP Agile Certified Exam Prep - PMI REP 21 PDUs,Everything you must know to earn the PMI-Agile Certified Practitioner (PMI-ACP) designation from a PMI REP for 21 PDUs,3156,91,Expert,4.4,11.99,Business
Six Sigma White Belt,"Start your Six Sigma journey with the best selling instructor for White, Yellow, Green and Black Belt courses",3143,15,Beginner,4.4,11.99,Business
Statistics for Data Science and Business Analysis,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",3134,,All Levels,4.4,11.99,Business
The Real Fundamentals of Real Estate Investing,Learn professional investment analysis techniques for real estate investing in residential and commercial properties,3071,,All Levels,4.4,11.99,Business
Beginning Project Management: Project Management Level One,Project Management: Growing a Successful Career as a Project Manager,3040,,Beginner,4.4,11.99,Business
Statistics for Business Analytics and Data Science A-Z™,"Learn The Core Stats For A Data Science Career. Master Statistical Significance, Confidence Intervals And Much More!",3029,44,All Levels,4.3,11.99,Business
How To Make A Great First Impression,"Using eye contact, your smile, a handshake and your words to make a GREAT first impression.",2978,5,Beginner,4.2,11.99,Business
Security Awareness Training,A basic guide to staying safe online and to introduce new knowledge to people about internet security and privacy.,2952,,Beginner,4.5,11.99,Business
R Programming: Advanced Analytics In R For Data Science,"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2",2842,,Intermediate,4.6,11.99,Business
Artificial Intelligence: Reinforcement Learning in Python,"Complete guide to artificial intelligence and machine learning, prep for deep reinforcement learning",2810,81,Intermediate,4.6,11.99,Business
Python for Finance: Investment Fundamentals & Data Analytics,Learn Python Programming and Conduct Real-World Financial Analysis in Python - Complete Python Training,2775,111,All Levels,4.5,11.99,Business
"The Basics of Blockchain: Ethereum, Bitcoin, & More","TED Speaker Bettina Warburg connects the dots between the business, economics, and technology of Blockchain.",2769,51,Beginner,4.3,11.99,Business
CAPM Exam Prep: Earn Your CAPM Certification,Qualify for the CAPM Certification Exam - 25 Contact Hours from a PMI Registered Education Provider #4082,2750,152,Beginner,4.6,11.99,Business
Fundamentals of Business Analysis,Get the foundation in business analysis you need to solve your organization's biggest problems.,2732,68,All Levels,4.4,11.99,Business
Scala and Spark for Big Data and Machine Learning,"Learn the latest Big Data technology - Spark and Scala, including Spark 2.0 DataFrames!",2659,80,All Levels,4.4,11.99,Business
